surfspot,beach,region,crowds,difficulty,link,img link
River Jetties,Newport Beach,Orange County,2.3,2.3,https://www.surfline.com/surf-report/river-jetties/5842041f4e65fad6a77088ee?camId=5834a0223421b20545c4b581,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-Balboa-Peninsula-Beach-looking-at-pier-Newport-Beach-CA-E1-Large-e1482908929971-650x387.jpg
Huntington State Beach,Huntington Beach,Orange County,2.9,3.4,https://www.surfline.com/surf-report/huntington-state-beach/584204204e65fad6a770998c?camId=58349a66e411dc743a5d529a,https://www.californiabeaches.com/wp-content/uploads/2014/09/LOC-Huntington-Beach-Lifeguard-Tower-and-Pier-HB-e1510898263595-650x390.jpg
Newland St,Huntington Beach,Orange County,2.5,1.5,https://www.surfline.com/surf-report/newland-st-/5c6f2b831fca150001302d97,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigstock-An-early-morning-image-of-a-pi-37248004-650x432.jpg
Huntington St,Huntington Beach,Orange County,2.9,3.4,https://www.surfline.com/surf-report/huntington-st-/58bdebbc82d034001252e3d2,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1156-Large-650x433.jpg
"HB Pier, Southside",Huntington Beach,Orange County,2,1,https://www.surfline.com/surf-report/hb-pier-southside-overview/58bdea400cec4200133464f0,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1150-Large-650x394.jpg
HB Southside,Huntington Beach,Orange County,2,1,https://www.surfline.com/surf-report/hb-southside/5842041f4e65fad6a77088ed?camId=583499cb3421b20545c4b53f,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigstock-Surf-City-Huntington-Beach-Pie-24727454-650x433.jpg
"HB Pier, Northside",Huntington Beach,Orange County,2,1,https://www.surfline.com/surf-report/hb-pier-northside-overview/584204204e65fad6a77091aa?camId=58349a5c3421b20545c4b542,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1236-Large1-650x398.jpg
17 St,Huntington Beach,Orange County,2.9,3.4,https://www.surfline.com/surf-report/17th-st-/5842041f4e65fad6a77088eb,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1215-Large-650x403.jpg
Goldenwest,Huntington Beach,Orange County,2.9,3.4,https://www.surfline.com/surf-report/goldenwest/5842041f4e65fad6a77088ea,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1358-650x487.jpg
Bolsa Chica Jetties ,Huntington Beach,Orange County,2.3,2,https://www.surfline.com/surf-report/bolsa-chica-jetties/5d7144bd00594800013356b5,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_6681-650x432.jpg
Bolsa Chica State Beach N,Huntington Beach,Orange County,2.3,2,https://www.surfline.com/surf-report/bolsa-chica-state-beach-n-/58bdee240cec4200133464f1,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1361-650x487.jpg
Bolsa Chica State Beach ,Huntington Beach,Orange County,2.3,2,https://www.surfline.com/surf-report/bolsa-chica-state-beach/5842041f4e65fad6a77088e8?camId=582356cc302ec90c4108c3e3,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1215-Large-650x403.jpg
Anderson St ,Sunset Beach,Orange County,3.5,3,https://www.surfline.com/surf-report/anderson-st-overview/5bd88d6a843497000100bb6e?camId=5bfd9c4173e2db334625c21b,https://www.surfline.com/surf-report/coronado-beach/5842041f4e65fad6a77088ce
Surfside,Sunset Beach,Orange County,3,3,https://www.surfline.com/surf-report/surfside/5842041f4e65fad6a77088e7,https://www.surfline.com/surf-report/sunset-cliffs/5842041f4e65fad6a7708840
"Seal Beach Pier, Southside",Seal Beach,Orange County,4,2.5,https://www.surfline.com/surf-report/seal-beach-pier-southside/5842041f4e65fad6a77088e4,https://www.surfline.com/surf-report/ocean-beach-pier-/59aedf63b5e8310014bbe375
"Seal Beach Pier, Northside",Seal Beach,Orange County,4,2.5,https://www.surfline.com/surf-report/seal-beach-pier-northside/5b71b95fc27dc6001ab8becf,https://www.surfline.com/surf-report/ocean-beach/5842041f4e65fad6a770883f
Seal Beach Jetty,Seal Beach,Orange County,4,2.5,https://www.surfline.com/surf-report/seal-beach-jetty/5842041f4e65fad6a7708820,https://www.surfline.com/surf-report/mission-beach/5842041f4e65fad6a7708842
Ray Bay,Seal Beach,Orange County,4,2.5,https://www.surfline.com/surf-report/ray-bay/5842041f4e65fad6a77088e5,https://www.surfline.com/surf-report/pacific-beach-south/5c53891576aef400012a0b67
Cabrillo Beach,San Pedro,Los Angeles County,4,4.5,https://www.surfline.com/surf-report/cabrillo-beach/5842041f4e65fad6a7708927,https://www.surfline.com/surf-report/pacific-beach/5842041f4e65fad6a7708841?camId=58349ea13421b20545c4b568
Lunada Bay,Palos Verdes Estates,Los Angeles County,2.3,4.3,https://www.surfline.com/surf-report/lunada-bay/5842041f4e65fad6a770892c,https://www.surfline.com/surf-report/old-man-s-at-tourmaline/5842041f4e65fad6a77088c4?camId=5f29e43f4a641b0b4103763b
PV Cove,Palos Verdes Estates,Los Angeles County,1.8,2.5,https://www.surfline.com/surf-report/pv-cove/5842041f4e65fad6a770892d,https://www.surfline.com/surf-report/pb-point/5842041f4e65fad6a77088c2
Haggerty,Palos Verdes Estates,Los Angeles County,2,2.8,https://www.surfline.com/surf-report/haggerty-s/5842041f4e65fad6a7708920,https://www.surfline.com/surf-report/birdrock/5842041f4e65fad6a770883a
Torrance Beach,Palos Verdes Estates,Los Angeles County,2.5,1.5,https://www.surfline.com/surf-report/torrance-beach/5af211c8bb6fd9001a25054a,https://www.surfline.com/surf-report/windansea/5842041f4e65fad6a770883c
Sapphire St,Redondo Beach,Los Angeles County,2,1,https://www.surfline.com/surf-report/sapphire-st-/584204214e65fad6a7709d0b,https://www.surfline.com/surf-report/horseshoe/5842041f4e65fad6a770883d
Redondo Breakwater,Redondo Beach,Los Angeles County,3.7,3,https://www.surfline.com/surf-report/redondo-breakwater/5842041f4e65fad6a7708921,https://www.surfline.com/surf-report/la-jolla-shores/5842041f4e65fad6a77088cc
Hermosa Pier Southside,Hermosa Beach,Los Angeles County,2.5,2.2,https://www.surfline.com/surf-report/hermosa-pier-southside/5b17293b9f631f001a010d54?camId=5b462afad7eac40015f50897,https://www.surfline.com/surf-report/scripps/5842041f4e65fad6a7708839?camId=5834a0733421b20545c4b584
Hermosa Pier Northside,Hermosa Beach,Los Angeles County,2.5,2.2,https://www.surfline.com/surf-report/hermosa-pier-northside/5b17281e4a274e001a11fcc3,https://www.surfline.com/surf-report/scripps-pier-northside/5d703b2ae4a3a8000133196a
Hermosa Beach,Hermosa Beach,Los Angeles County,2.5,2.2,https://www.surfline.com/surf-report/hermosa-beach/5842041f4e65fad6a7708904,https://www.surfline.com/surf-report/blacks/5842041f4e65fad6a770883b
Manhattan Pier Southside,Manhattan Beach,Los Angeles County,3.4,3.1,https://www.surfline.com/surf-report/manhattan-pier-southside/5842041f4e65fad6a7708907,https://www.surfline.com/surf-report/torrey-pines-state-beach/584204204e65fad6a7709994?camId=5fc815430279d0502a5d0645
Manhattan Pier Northside,Manhattan Beach,Los Angeles County,3.4,3.1,https://www.surfline.com/surf-report/manhattan-pier-northside/5acd24954031e5001a13854a,https://www.surfline.com/surf-report/15th-st-/5842041f4e65fad6a77088af
El Porto 39th St,Manhattan Beach,Los Angeles County,2,1,https://www.surfline.com/surf-report/el-porto-39th-st-/5842041f4e65fad6a7708906,https://www.surfline.com/surf-report/del-mar/5d7687fdb4c559000112e666
El Porto 41st St,Manhattan Beach,Los Angeles County,1.7,2.8,https://www.surfline.com/surf-report/el-porto-41st-st-/5d6847bda897100001ab02aa,https://www.surfline.com/surf-report/del-mar-beachbreak/5842041f4e65fad6a77088ae?camId=5b47dc4d49d3d8001a29f2d6
El Porto 42nd St,Manhattan Beach,Los Angeles County,1.7,2.8,https://www.surfline.com/surf-report/el-porto-42nd-st-/5a25e409aa1aea001b27be39?camId=5a203892096c27001ac4f18d,https://www.surfline.com/surf-report/25th-st-/584204214e65fad6a7709d14
El Porto 43rd St,Manhattan Beach,Los Angeles County,1.7,2.8,https://www.surfline.com/surf-report/el-porto-43rd-st-/5d684b426fcb630001f08a10,https://www.surf-forecast.com/system/images/21761/medium/San-Clemente-Pier.jpg?1577282916
Hammerland,Manhattan Beach,Los Angeles County,4,4,https://www.surfline.com/surf-report/hammerland/5842041f4e65fad6a7708902,https://www.surf-forecast.com/system/images/3307/thumb_col/Doheney-Beach.jpg
Shitpipe,El Segundo,Los Angeles County,4,1,https://www.surfline.com/surf-report/shitpipe/5842041f4e65fad6a7708900,https://www.californiabeaches.com/wp-content/uploads/2014/09/20150215_153744-Large-1000x524.jpg
Dockweiler,El Segundo,Los Angeles County,4,1,https://www.surfline.com/surf-report/dockweiler-state-beach/5842041f4e65fad6a77088ff,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_0841-Large1-650x433.jpg
Venice Pier Southside Surf,Venice Beach,Los Angeles County,2,1,https://www.surfline.com/surf-report/venice-pier-southside/5accf279bd428f001ad70a34?camId=5ad8b57d14cfec00106f2a10,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigstock-A-cove-on-the-beach-in-Dana-Po-25896914-650x433.jpg
Venice Pier Northside Surf,Venice Beach,Los Angeles County,2,1,https://www.surfline.com/surf-report/venice-pier-northside/5accf274bd428f001ad70a33?camId=5b1ad73eaa6e50000fc66f0e,https://www.californiabeaches.com/wp-content/uploads/2014/09/Dana-Strand-Bryce2-Large-650x364.jpg
Venice Beach ,Venice Beach,Los Angeles County,2.5,3,https://www.surfline.com/surf-report/venice-beach/5842041f4e65fad6a7708819,https://www.visitlagunabeach.com/imager/s3-us-west-1_amazonaws_com/laguna-craft/craft/AlisoBeach_844285ee339c9cdd414d98916d77d4f8.jpg
Venice Breakwater,Venice Beach,Los Angeles County,2.5,3,https://www.surfline.com/surf-report/venice-breakwater/590927576a2e4300134fbed8?camId=5834a1b6e411dc743a5d52f3,https://www.californiabeaches.com/wp-content/uploads/2014/09/Laguna-Beaches-3.28.14-088-e1466198215642-650x375.jpg
Santa Monica Beach South,Santa Monica,Los Angeles County,2,1,https://www.surfline.com/surf-report/santa-monica-beach-south/5af21e4c8a1a07001a4531dc,https://www.californiabeaches.com/wp-content/uploads/2014/09/Laguna-Beaches-3.28.14-054-Large-e1509425414152-650x383.jpg
Bay St,Santa Monica,Los Angeles County,2.5,2,https://www.surfline.com/surf-report/bay-st-/5d6562fdca83aa00012b47af,https://www.californiabeaches.com/wp-content/uploads/2014/09/Laguna-Beaches-3.28.14-055-Large-e1509425373498-650x382.jpg
Santa Monica Pier,Santa Monica,Los Angeles County,2.5,2.2,https://www.surfline.com/surf-report/santa-monica-pier/5842041f4e65fad6a77088f7,http://www.crystalcovestatepark.org/wp-content/uploads/2015/12/Reef-Point--e1470931279157.jpg
Santa Monica Pier North,Santa Monica,Los Angeles County,2.5,2.2,https://www.surfline.com/surf-report/santa-monica-pier-north/5b7efe06d7830b001a875b22,https://www.parks.ca.gov/pages/652/images/P0078527.jpg
Santa Monica Beach North,Santa Monica,Los Angeles County,2,1,https://www.surfline.com/surf-report/santa-monica-beach-north/5af21bc9177e44001a8cc60b,https://www.surfertoday.com/images/stories/thewedgewave2.jpg
Sunset Point,Santa Monica,Los Angeles County,2,2,https://www.surfline.com/surf-report/sunset-point/5842041f4e65fad6a7708914,https://www.visitcalifornia.com/sites/visitcalifornia.com/files/VC_NewportBeach_CoronaDelMar_Stock_RF_EHNYRW_1280x640.jpg
Sunset Beach,Santa Monica,Los Angeles County,2,2,https://www.surfline.com/surf-report/sunset-beach/584204214e65fad6a7709b9e,https://www.californiabeaches.com/wp-content/uploads/2016/06/bigs-Newport-Beach-pier-beach-looking-south-at-sunset-in-California-CALarge-e1509477484344-650x349.jpg
Chart House,Topanga Beach,Los Angeles County,4,4,https://www.surfline.com/surf-report/chart-house/5842041f4e65fad6a7708930,https://www.californiabeaches.com/wp-content/uploads/2016/06/29.png
Topanga Beach ,Topanga Beach,Los Angeles County,2,1.5,https://www.surfline.com/surf-report/topanga-beach/5842041f4e65fad6a770881e?camId=5834a1733421b20545c4b592,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigstock-Newport-pier-beach-in-Californ-60891353-Custom-650x433.jpg
Malibu Third Point,Malibu Beach,Los Angeles County,1,2.6,https://www.surfline.com/surf-report/malibu-third-point/5c9134bb8e8d940001706997,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-Newport-Beach-pier-after-sunset-California-81966383-Large-e1482907529800-650x405.jpg
Malibu First Point,Malibu Beach,Los Angeles County,1,2.6,https://www.surfline.com/surf-report/malibu-first-point/584204214e65fad6a7709b9f?camId=58349c1fe411dc743a5d52ad,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1100-Large-650x340.jpg
Malibu Surfrider,Malibu Beach,Los Angeles County,1,2.6,https://www.surfline.com/surf-report/malibu-surfrider-beach/5a8cacffb0f634001ada08fb,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-The-Wedge-Newport-Body-Surfer-Tossed-In-Huge-Wave-E1-Large-650x387.jpg
Malibu Second Point,Malibu Beach,Los Angeles County,1,2.6,https://www.surfline.com/surf-report/malibu-second-point/5842041f4e65fad6a7708817?camId=58349c16e411dc743a5d52ac,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1472-Large-650x487.jpg
Latigo Point,Malibu Beach,Los Angeles County,2,2.6,https://www.surfline.com/surf-report/latigo-point/5842041f4e65fad6a7708937,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1479-Large-e1492653824255-650x400.jpg
Point Dume,Malibu Beach,Los Angeles County,1.7,3,https://www.surfline.com/surf-report/point-dume/5842041f4e65fad6a7708936,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1478-Large-e1492653806939-650x398.jpg
Westward Beach,Malibu Beach,Los Angeles County,2,3,https://www.surfline.com/surf-report/westward-beach/5d40baede7311400018b5b29,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_6956-Large-650x432.jpg
Zuma Beach ,Malibu Beach,Los Angeles County,2.7,2.3,https://www.surfline.com/surf-report/zuma-beach/5afb6566bb6fd9001a250fbb?camId=5834a214e411dc743a5d52f9,https://www.californiabeaches.com/wp-content/uploads/2014/09/Screenshot-2014-10-30-14.07.58-650x328.png
Zuma Beach North,Malibu Beach,Los Angeles County,2.7,2.3,https://www.surfline.com/surf-report/zuma-beach-north/5b156d394a274e001a11fb62,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1544-Large-e1526000223833-650x393.jpg
Leo Carrilo,Malibu Beach,Los Angeles County,2.2,2,https://www.surfline.com/surf-report/leo-carrillo/5842041f4e65fad6a770893f,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1534-Large-e1525999581658-650x392.jpg
County Line,Malibu West,Los Angeles County,2.2,3,https://www.surfline.com/surf-report/county-line/5842041f4e65fad6a7708813?camId=583497433421b20545c4b531,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-Balboa-Peninsula-Beach-looking-at-pier-Newport-Beach-CA-E1-Large-e1482908929971-650x387.jpg
Oxnard ,Oxnard Shores,Ventura County,3.5,4,https://www.surfline.com/surf-report/oxnard/5842041f4e65fad6a770894c,https://www.californiabeaches.com/wp-content/uploads/2014/09/LOC-Huntington-Beach-Lifeguard-Tower-and-Pier-HB-e1510898263595-650x390.jpg
C St,Ventura Beach,Ventura County,1.8,2.4,https://www.surfline.com/surf-report/c-st-/5842041f4e65fad6a7708828?camId=583496a0e411dc743a5d5276,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_2928-Large-650x433.jpg
Ventura Point,Ventura Beach,Ventura County,1.8,2.4,https://www.surfline.com/surf-report/ventura-point/584204204e65fad6a77096b1?camId=5834a1c3e411dc743a5d52f4,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-Sunset-At-Imperial-Beach-CA-with-Pier-Large-e1482471671800-650x423.jpg
Ventura Overhead,Ventura Beach,Ventura County,2,4,https://www.surfline.com/surf-report/ventura-overhead/5842041f4e65fad6a7708963,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigstock-Imperial-Beach-City-Beach-and-Pier-Sunset-90695552-e1480389034625-650x416.jpg
Emma Wood,Ventura Beach,Ventura County,2,1,https://www.surfline.com/surf-report/emma-wood/5842041f4e65fad6a7708959,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1896-Large1-e1544571818231-650x370.jpg
Summer Beach,Ventura Beach,Ventura County,2.5,2.5,https://www.surfline.com/surf-report/summer-beach/5842041f4e65fad6a770895e,https://www.californiabeaches.com/wp-content/uploads/2014/09/Sunset-Cliffs-Park-San-Dieg-Bryce-feb2015-4-650x412.jpg
Gold Coast Beachbreaks,Ventura Beach,Ventura County,2.5,2.5,https://www.surfline.com/surf-report/gold-coast-beachbreaks/5842041f4e65fad6a770880d,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-Ocean-Beach-San-Diego-California-161828237-Large-e1518554577262-650x396.jpg
Solimar,Ventura Beach,Ventura County,2,3,https://www.surfline.com/surf-report/solimar/5842041f4e65fad6a770895f,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_0189-Large-650x433.jpg
Mondos,Ventura Beach,Ventura County,3,1.3,https://www.surfline.com/surf-report/mondos/584204204e65fad6a770904d,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_3024crop-Large-650x452.jpg
Pitas Point,Ventura Beach,Ventura County,2,2.7,https://www.surfline.com/surf-report/pitas-point/5842041f4e65fad6a7708957,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-Pacific-Beach-Aerial-View-with-Pier-PB-San-Diego-CA-E1-Large-e1509516135898-650x385.jpg
Stanley,Carpinteria,Santa Barbara County,2.5,2.5,https://www.surfline.com/surf-report/stanley-s/5842041f4e65fad6a7708944,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_3068crop-Large-650x356.jpg
Oil Piers,Carpinteria,Santa Barbara County,2.5,2.5,https://www.surfline.com/surf-report/oil-piers/5842041f4e65fad6a7708945,https://www.californiabeaches.com/wp-content/uploads/2014/09/Tourmaline-Surf-Park-Beach-Bryce-Apr2016-9-650x429.jpg
Mussel Shoals,Carpinteria,Santa Barbara County,2.5,2.5,https://www.surfline.com/surf-report/mussel-shoals-aka-little-rincon-/5842041f4e65fad6a770895a,https://www.californiabeaches.com/wp-content/uploads/2014/09/Tourmaline-Surf-Park-Beach-Bryce-Apr2016-3-650x468.jpg
Rincon,Carpinteria,Santa Barbara County,2.5,2.5,https://www.surfline.com/surf-report/rincon/5842041f4e65fad6a7708814,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_3218-Large-650x433.jpg
Tarpits,Carpinteria,Santa Barbara County,3,2,https://www.surfline.com/surf-report/tarpits/5842041f4e65fad6a7708975,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-La-Jolla-CA-Windansea-Beach-E1-Large-650x367.jpg
Carpinteria State Beach,Carpinteria,Santa Barbara County,3,2,https://www.surfline.com/surf-report/carpinteria-state-beach/5842041f4e65fad6a770896e,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-La-Jolla-Beach-with-people-on-rocks-at-sunset-147576329-Large-650x410.jpg
Hammond,Santa Barbara,Santa Barbara County,1.5,4.5,https://www.surfline.com/surf-report/hammond-s/5842041f4e65fad6a7708967,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_3373-Large-650x432.jpg
Santa Barbara Harbor,Santa Barbara,Santa Barbara County,2.5,2.5,https://www.surfline.com/surf-report/santa-barbara-harbor/584204214e65fad6a7709d18,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-Scripps-pier-in-La-Jolla-at-sunset-with-beautiful-relfections-socal-Large-650x396.jpg
Sandspit ,Santa Barbara,Santa Barbara County,2,2.5,https://www.surfline.com/surf-report/sandspit/5842041f4e65fad6a7708966,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_3393-Large-e1465938612888-650x392.jpg
Leadbetter Beach,Santa Barbara,Santa Barbara County,2.8,2.2,https://www.surfline.com/surf-report/leadbetter-beach/58bdf54982d034001252e3d5,https://www.californiabeaches.com/wp-content/uploads/2014/09/BigS-Overlooking-Blacks-Beach-San-Diego-CA-Large-e1512026583176-650x408.jpg
Leadbetter Point,Santa Barbara,Santa Barbara County,2.8,2.2,https://www.surfline.com/surf-report/leadbetter-point/5842041f4e65fad6a7708960?camId=58349bc9e411dc743a5d52a7,https://www.californiabeaches.com/wp-content/uploads/2014/09/Flat-Rock-beach-Torrey-Pines-State-Beach-preserve-la-jolla-san-diego-ca-bryce-pic-4-Large-650x422.jpg
Campus Point,Isla Vista,Santa Barbara County,2.6,2.7,https://www.surfline.com/surf-report/campus-point/5842041f4e65fad6a770896c,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1892-Large1-650x452.jpg
Devereux,Isla Vista,Santa Barbara County,2.3,2,https://www.surfline.com/surf-report/devereux/5842041f4e65fad6a7708962,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1886-Large1-e1503531242232-650x402.jpg
Sands,Isla Vista,Santa Barbara County,2,2.2,https://www.surfline.com/surf-report/sands/5842041f4e65fad6a7708964,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_9552-Large-650x433.jpg
El Capitan,Isla Vista,Santa Barbara County,2.5,4.2,https://www.surfline.com/surf-report/el-capitan/5842041f4e65fad6a7708968,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_9531-Large-650x433.jpg
