surfspot,beach,region,crowds,difficulty,link,img link
Refugio,Solvang,Santa Barbara County,3,2,https://www.surfline.com/surf-report/refugio/5842041f4e65fad6a7708961,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_9550-Large-650x433.jpg
Point Conception ,Jalama,Santa Barbara County,3,3.5,https://www.surfline.com/surf-report/point-conception/5842041f4e65fad6a7708990,https://www.californiabeaches.com/wp-content/uploads/2014/09/Cardiff-State-Beach-Seaside-BryceApr16-2-650x349.jpg
Jalama,Lompoc,Santa Barbara County,3,3.5,https://www.surfline.com/surf-report/jalama/5842041f4e65fad6a7708991,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_9428-Large-650x433.jpg
Surf Beach,Vandenberg Air Force Base,Santa Barbara County,4,4,https://www.surfline.com/surf-report/surf-beach/5842041f4e65fad6a7708996,https://www.californiabeaches.com/wp-content/uploads/2014/09/Cardiff-State-Beach-Seaside-BryceApr16-5-650x394.jpg
Oceano,Oceano,San Luis Obispo County,4,1,https://www.surfline.com/surf-report/oceano/584204214e65fad6a7709d01,https://www.californiabeaches.com/wp-content/uploads/2014/09/Cardiff-State-Beach-North-Encinitas-BryceApr16-4-650x459.jpg
Oceano Pier Ave,Oceano,San Luis Obispo County,4,1,https://www.surfline.com/surf-report/oceano-pier-ave-/5a1c9be49caa98001b09d0e1,https://www.californiabeaches.com/wp-content/uploads/2014/09/San-Elijo-State-Beach-Encinitas-bryceApr16-2-e1493337502831-650x400.jpg
Grover Beach,Grover Beach,San Luis Obispo County,2.5,3,https://www.surfline.com/surf-report/grover-beach/5dbf1b86573ec300011071da,https://spot-thumbnails.cdn-surfline.com/spots/584204214e65fad6a7709c79/584204214e65fad6a7709c79_1500.jpg
Pismo Beach Pier Southside,Pismo Beach,San Luis Obispo County,2.5,3,https://www.surfline.com/surf-report/pismo-beach-pier-southside/584204214e65fad6a7709cfa?camId=5f7357a7c041442d2cc07921,https://fastly.4sqi.net/img/general/200x200/1074117_Sxk3CddcSyORmbCFY9X-OgdTf_5uM1AC37XLK54l8tI.jpg
Pismo Beach Pier Northside,Pismo Beach,San Luis Obispo County,2.5,3,https://www.surfline.com/surf-report/pismo-beach-pier-northside/5842041f4e65fad6a77089ac,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_9263-Large-650x433.jpg
Pismo Beach Pier Northside,Pismo Beach,San Luis Obispo County,2.5,3,https://www.surfline.com/surf-report/pismo-beach-pier-northside-overview/584204214e65fad6a7709cfb,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_9308-Large1-650x450.jpg
Shell Beach South,Pismo Beach,San Luis Obispo County,2.5,3,https://www.surfline.com/surf-report/shell-beach-south/584204214e65fad6a7709d06,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1866-Large2-650x488.jpg
Shell Beach Surf,Avila Beach,San Luis Obispo County,2.5,2.5,https://www.surfline.com/surf-report/shell-beach/584204204e65fad6a77093cc?camId=5834a09be411dc743a5d52e7,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-Beacons-Beach-looking-north-Encintas-CA-168083300-Large-650x406.jpg
Avila Beach,Avila Beach,San Luis Obispo County,2.5,2.5,https://www.surfline.com/surf-report/avila-beach/5842041f4e65fad6a77089ab,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_3507-Large-e1466817314872-1000x617.jpg
Cable Landing,Los Osos ,San Luis Obispo County,2.5,2.5,https://www.surfline.com/surf-report/cable-landing/5842041f4e65fad6a77089a4,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_9244-Large-650x463.jpg
Baywood Beach,Los Osos ,San Luis Obispo County,2.5,2.5,https://www.surfline.com/surf-report/baywood-beach/584204214e65fad6a7709cfe,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_9240-Large1-650x433.jpg
Morro Bay ,Morro Bay,San Luis Obispo County,3,2,https://www.surfline.com/surf-report/morro-bay/5842041f4e65fad6a770880a?camId=5f1f3f987939d515202b4d28,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_9242-Large1-650x423.jpg
Morro Strand South,Morro Bay,San Luis Obispo County,3,2,https://www.surfline.com/surf-report/morro-strand-south/584204214e65fad6a7709cf9,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-View-north-toward-Terramar-Beach-in-Carlsbad-CA-Large-e1512696317274-650x414.jpg
Morro Strand North,Morro Bay,San Luis Obispo County,3,2,https://www.surfline.com/surf-report/morro-strand-north/5dd431a37355964f5b4edbb8,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_2685-Large1-650x433.jpg
Cayucos Pier Southside,Cayucos,San Luis Obispo County,2.5,2.5,https://www.surfline.com/surf-report/cayucos-pier-southside-/5842041f4e65fad6a77089a2,https://www.californiabeaches.com/wp-content/uploads/2014/09/Beach-Day-3.26.14-222-Large-650x450.jpg
Santa Rosa Creek,Cambria,San Luis Obispo County,2,3.5,https://www.surfline.com/surf-report/santa-rosa-creek/5842041f4e65fad6a770899e,https://www.californiabeaches.com/wp-content/uploads/2014/09/Carlsbad-City-Beach-BryceApr16-4-650x427.jpg
Moonstone,Cambria,San Luis Obispo County,2,2.7,https://www.surfline.com/surf-report/moonstone/5842041f4e65fad6a770899c,https://www.californiabeaches.com/wp-content/uploads/2014/09/Beach-Day-3.26.14-395-Large-650x444.jpg
San Simeon,Cambria,San Luis Obispo County,4,4,https://www.surfline.com/surf-report/san-simeon/5842041f4e65fad6a77089a9,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-Oceanside-Beach-Lifeguard-Tower-162931184-Large-e1512522347185-650x398.jpg
Pico Creek,Cambria,San Luis Obispo County,4,4,https://www.surfline.com/surf-report/pico-creek/5842041f4e65fad6a770899d,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-Oceanside-Pier-View-South-Beach-seen-from-pier-donors-names-on-rail-E1-Large-650x385.jpg
Piedras Blancas,Cambria,San Luis Obispo County,2.5,2.5,https://www.surfline.com/surf-report/piedras-blancas/584204214e65fad6a7709d00?camId=58349ee5e411dc743a5d52cb,https://www.californiabeaches.com/wp-content/uploads/2014/09/Beach-Day-3.26.14-447-Large-650x396.jpg
Willow Creek,Cambria,San Luis Obispo County,2.5,2.5,https://www.surfline.com/surf-report/willow-creek/5842041f4e65fad6a7708bbb,https://www.californiabeaches.com/wp-content/uploads/2014/09/Beach-Day-3.26.14-444-Large-650x409.jpg
Sand Dollar,Plaskett,San Luis Obispo County,4,3,https://www.surfline.com/surf-report/sand-dollar-beach/5842041f4e65fad6a7708bb1,https://californiathroughmylens.com/wp-content/uploads/2013/05/San-Clemente-Beach-Trail-9.jpg
Big Sur Rivermouth,Big Sur,Monterey County,2.3,2.2,https://www.surfline.com/surf-report/big-sur-rivermouth/5842041f4e65fad6a7708bb4,https://www.californiabeaches.com/wp-content/uploads/2014/09/San-Onofre-Surf-Beach-Old-Mans-BryceApr16-3-650x388.jpg
Carmel Beach ,Carmel,Monterey County,2.3,2.2,https://www.surfline.com/surf-report/carmel-beach/5842041f4e65fad6a7708bb3,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-Dusty-Payne-Surfing-at-Lower-Trestles-San-Clemente-CA-Large-e1482543496657-650x412.jpg
Ghost Tree,Carmel,Monterey County,5,4,https://www.surfline.com/surf-report/ghost-tree/5842041f4e65fad6a7708bb8,https://www.californiabeaches.com/wp-content/uploads/2014/09/3.27.14-San-Clemente-054-Large-e1527899553968-650x416.jpg
Mole Point,Pacific Grove,Monterey County,3.5,3,https://www.surfline.com/surf-report/mole-point/5842041f4e65fad6a7708bb5,https://www.californiabeaches.com/wp-content/uploads/2014/09/3.27.14-San-Clemente-050-Large-650x459.jpg
Asilomar,Pacific Grove,Monterey County,3.5,3,https://www.surfline.com/surf-report/asilomar/5842041f4e65fad6a7708bb7,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_2620-Large1-e1470878430940-650x398.jpg
Boneyard Surf,Pacific Grove,Monterey County,3,3,https://www.surfline.com/surf-report/boneyard/5842041f4e65fad6a7708bb6,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-Trestles-Surf-Competition-at-Lowers-Surf-Spot-San-Clemente-Large-650x414.jpg
Lovers Point,Pacific Grove,Monterey County,4,4,https://www.surfline.com/surf-report/lover-s-point/5842041f4e65fad6a7708bbc,https://www.surf-forecast.com/system/images/12474/thumb_col/Cottons-Point.jpg
Monterey Bay,Monterey,Monterey County,3,1,https://www.surfline.com/surf-report/monterey-bay/584204214e65fad6a7709d05,https://www.surf-forecast.com/system/images/11438/medium/San-Clemente-State-Park.jpg?1408606880
Monterey State Beach,Monterey,Monterey County,3,1,https://www.surfline.com/surf-report/monterey-state-beach/584204214e65fad6a7709d1f,https://www.surf-forecast.com/system/images/15421/thumb_col/T-Street.jpg
Marina State Beach,Marina ,Monterey County,3,1,https://www.surfline.com/surf-report/marina-state-beach/5842041f4e65fad6a7708941,https://www.surf-forecast.com/system/images/15421/medium/T-Street.jpg?1452679751
Moss Landing ,Moss Landing,Monterey County,4,4,https://www.surfline.com/surf-report/moss-landing/5842041f4e65fad6a7708bbf,https://www.surf-forecast.com/system/images/21761/medium/San-Clemente-Pier.jpg?1577282916
Manresa,La Selva Beach,Santa Cruz County,3.3,2.3,https://www.surfline.com/surf-report/manresa/5842041f4e65fad6a770898e,https://www.surf-forecast.com/system/images/3307/thumb_col/Doheney-Beach.jpg
Capitola,Capitola ,Santa Cruz County,3.5,2,https://www.surfline.com/surf-report/capitola/5842041f4e65fad6a7708ddf,https://www.californiabeaches.com/wp-content/uploads/2014/09/20150215_153744-Large-1000x524.jpg
The Hook,Santa Cruz,Santa Cruz County,2,3,https://www.surfline.com/surf-report/the-hook/584204204e65fad6a7709996,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_0841-Large1-650x433.jpg
Jacks,Santa Cruz,Santa Cruz County,2.5,2.5,https://www.surfline.com/surf-report/jack-s/5842041f4e65fad6a770880b,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigstock-A-cove-on-the-beach-in-Dana-Po-25896914-650x433.jpg
Pleasure Point,Santa Cruz,Santa Cruz County,1.5,3.3,https://www.surfline.com/surf-report/pleasure-point/5842041f4e65fad6a7708807?camId=5cf0124c4f41df57b971a9a4,https://www.californiabeaches.com/wp-content/uploads/2014/09/Dana-Strand-Bryce2-Large-650x364.jpg
26th Ave,Santa Cruz,Santa Cruz County,3.5,2.5,https://www.surfline.com/surf-report/26th-ave/5842041f4e65fad6a770898a,https://www.visitlagunabeach.com/imager/s3-us-west-1_amazonaws_com/laguna-craft/craft/AlisoBeach_844285ee339c9cdd414d98916d77d4f8.jpg
The Harbor ,Santa Cruz,Santa Cruz County,3,4,https://www.surfline.com/surf-report/the-harbor/5842041f4e65fad6a7708988,https://www.californiabeaches.com/wp-content/uploads/2014/09/Laguna-Beaches-3.28.14-088-e1466198215642-650x375.jpg
Cowells Overview,Santa Cruz,Santa Cruz County,2,2,https://www.surfline.com/surf-report/cowells-overview/584204214e65fad6a7709d20,https://www.californiabeaches.com/wp-content/uploads/2014/09/Laguna-Beaches-3.28.14-054-Large-e1509425414152-650x383.jpg
Cowells,Santa Cruz,Santa Cruz County,2,2,https://www.surfline.com/surf-report/cowells/5842041f4e65fad6a7708806?camId=58349794e411dc743a5d527f,https://www.californiabeaches.com/wp-content/uploads/2014/09/Laguna-Beaches-3.28.14-055-Large-e1509425373498-650x382.jpg
Steamer Lane,Santa Cruz,Santa Cruz County,1.3,3.7,https://www.surfline.com/surf-report/steamer-lane/5842041f4e65fad6a7708805?camId=5834a0de3421b20545c4b58a,http://www.crystalcovestatepark.org/wp-content/uploads/2015/12/Reef-Point--e1470931279157.jpg
Mitchells Cove,Santa Cruz,Santa Cruz County,2,4,https://www.surfline.com/surf-report/mitchell-s-cove/5842041f4e65fad6a7708987,https://www.parks.ca.gov/pages/652/images/P0078527.jpg
Natural Bridges,Santa Cruz,Santa Cruz County,2,4,https://www.surfline.com/surf-report/natural-bridges/5842041f4e65fad6a7708986,https://www.surfertoday.com/images/stories/thewedgewave2.jpg
Three Mile,Santa Cruz,Santa Cruz County,2,3.3,https://www.surfline.com/surf-report/three-mile/5e618490277db7f194f080fa,https://www.visitcalifornia.com/sites/visitcalifornia.com/files/VC_NewportBeach_CoronaDelMar_Stock_RF_EHNYRW_1280x640.jpg
Four Mile,Santa Cruz,Santa Cruz County,2,3.3,https://www.surfline.com/surf-report/four-mile/5842041f4e65fad6a7708981,https://www.californiabeaches.com/wp-content/uploads/2016/06/bigs-Newport-Beach-pier-beach-looking-south-at-sunset-in-California-CALarge-e1509477484344-650x349.jpg
Davenport,Bonny Doon,Santa Cruz County,2.2,2.8,https://www.surfline.com/surf-report/davenport/5842041f4e65fad6a7708983,https://www.californiabeaches.com/wp-content/uploads/2016/06/29.png
Scott Creek,Bonny Doon,Santa Cruz County,4,1,https://www.surfline.com/surf-report/scott-creek/5842041f4e65fad6a7708982,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigstock-Newport-pier-beach-in-Californ-60891353-Custom-650x433.jpg
Waddell Creek,Bonny Doon,Santa Cruz County,3.5,2,https://www.surfline.com/surf-report/waddell-creek/5842041f4e65fad6a7708980,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-Newport-Beach-pier-after-sunset-California-81966383-Large-e1482907529800-650x405.jpg
Ano Nuevo,Pacifica,San Mateo County,3,4,https://www.surfline.com/surf-report/ano-nuevo/5842041f4e65fad6a770897f,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1100-Large-650x340.jpg
Pigeon Point,Pacifica,San Mateo County,3,3,https://www.surfline.com/surf-report/pigeon-point/5842041f4e65fad6a770897e,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-The-Wedge-Newport-Body-Surfer-Tossed-In-Huge-Wave-E1-Large-650x387.jpg
Pescadero,Pacifica,San Mateo County,3,1.7,https://www.surfline.com/surf-report/pescadero/5842041f4e65fad6a770897d,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1472-Large-650x487.jpg
Tunitas Creek,Pacifica,San Mateo County,2.5,2.5,https://www.surfline.com/surf-report/tunitas-creek/5842041f4e65fad6a7708972,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1479-Large-e1492653824255-650x400.jpg
Half Moon Bay ,Pacifica,San Mateo County,2.5,2.5,https://www.surfline.com/surf-report/half-moon-bay/5842041f4e65fad6a770896f,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1478-Large-e1492653806939-650x398.jpg
Princeton Jetty,Pacifica,San Mateo County,2,1,https://www.surfline.com/surf-report/princeton-jetty/5842041f4e65fad6a7708970,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_6956-Large-650x432.jpg
Mavericks ,Pacifica,San Mateo County,2.5,4.6,https://www.surfline.com/surf-report/maverick-s/5842041f4e65fad6a7708801,https://www.californiabeaches.com/wp-content/uploads/2014/09/Screenshot-2014-10-30-14.07.58-650x328.png
Montara,Pacifica,San Mateo County,4,4,https://www.surfline.com/surf-report/montara/5842041f4e65fad6a7708974,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1544-Large-e1526000223833-650x393.jpg
Pedro Point,Pacifica,San Mateo County,4,4,https://www.surfline.com/surf-report/pedro-point/5842041f4e65fad6a7708978,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1534-Large-e1525999581658-650x392.jpg
Pacifica ,Pacifica,San Mateo County,4,4,https://www.surfline.com/surf-report/pacifica-linda-mar/5842041f4e65fad6a7708976,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-Balboa-Peninsula-Beach-looking-at-pier-Newport-Beach-CA-E1-Large-e1482908929971-650x387.jpg
Rockaway,Pacifica,San Mateo County,3,4,https://www.surfline.com/surf-report/rockaway/5842041f4e65fad6a7708979,https://www.californiabeaches.com/wp-content/uploads/2014/09/LOC-Huntington-Beach-Lifeguard-Tower-and-Pier-HB-e1510898263595-650x390.jpg
Sharp Park ,Pacifica,San Mateo County,2,4,https://www.surfline.com/surf-report/sharp-park/5842041f4e65fad6a770897c,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigstock-An-early-morning-image-of-a-pi-37248004-650x432.jpg
South Ocean Beach,San Francisco,San Francisco County,3.3,3,https://www.surfline.com/surf-report/south-ocean-beach/5842041f4e65fad6a77087f9,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1156-Large-650x433.jpg
Central Ocean Beach South,San Francisco,San Francisco County,3.3,3,https://www.surfline.com/surf-report/central-ocean-beach-south/58bdd8fca7ce4b00126f7bb0,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1150-Large-650x394.jpg
Central Ocean Beach North ,San Francisco,San Francisco County,3.3,3,https://www.surfline.com/surf-report/central-ocean-beach-north/58bdda3582d034001252e3d0,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigstock-Surf-City-Huntington-Beach-Pie-24727454-650x433.jpg
North Ocean Beach,San Francisco,San Francisco County,3.3,3,https://www.surfline.com/surf-report/north-ocean-beach/5d9b68deab58860001c7359e,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1236-Large1-650x398.jpg
Fort Point,San Francisco,San Francisco County,2,4,https://www.surfline.com/surf-report/fort-point/5842041f4e65fad6a770897a,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1215-Large-650x403.jpg
Fort Cronkite,Marin City,Marin County,3,2.5,https://www.surfline.com/surf-report/fort-cronkite-rodeo-beach/5842041f4e65fad6a77089bf,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1358-650x487.jpg
Stinson Beach,Marin City,Marin County,3.5,2,https://www.surfline.com/surf-report/stinson-beach/5842041f4e65fad6a77089c1,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_6681-650x432.jpg
Point Reyes,Inverness,Marin County,2.5,3,https://www.surfline.com/surf-report/point-reyes-north-/5842041f4e65fad6a77089c3,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1361-650x487.jpg
Dillon Beach,Bodega Bay,Sonoma County,3.8,2.6,https://www.surfline.com/surf-report/dillon-beach/584204204e65fad6a770938c,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1215-Large-650x403.jpg
Doran Beach,Bodega Bay,Sonoma County,2.6,1.6,https://www.surfline.com/surf-report/doran-beach/5842041f4e65fad6a77089c6,https://www.surfline.com/surf-report/coronado-beach/5842041f4e65fad6a77088ce
Salmon Creek,Bodega Bay,Sonoma County,3.3,3.7,https://www.surfline.com/surf-report/salmon-creek/5842041f4e65fad6a77089c8,https://www.surfline.com/surf-report/sunset-cliffs/5842041f4e65fad6a7708840
Russian Rivermouth,Monte Rio,Sonoma County,3,3,https://www.surfline.com/surf-report/russian-rivermouth/5842041f4e65fad6a77089c7,https://www.surfline.com/surf-report/ocean-beach-pier-/59aedf63b5e8310014bbe375
Black Point Beach,Sea Ranch,Sonoma County,4,1,https://www.surfline.com/surf-report/black-point-beach/5842041f4e65fad6a77089c9,https://www.surfline.com/surf-report/ocean-beach/5842041f4e65fad6a770883f
Point Arena,Medocino,Medocino County,3,2,https://www.surfline.com/surf-report/point-arena/5842041f4e65fad6a7708b46,https://www.surfline.com/surf-report/mission-beach/5842041f4e65fad6a7708842
Medocino Township,Fort Bragg,Medocino County,3,3,https://www.surfline.com/surf-report/mendocino-township/5842041f4e65fad6a7708b41,https://www.surfline.com/surf-report/pacific-beach-south/5c53891576aef400012a0b67
Caspar Beach,Fort Bragg,Medocino County,2.5,2.5,https://www.surfline.com/surf-report/caspar-beach/584204204e65fad6a770997d,https://www.surfline.com/surf-report/pacific-beach/5842041f4e65fad6a7708841?camId=58349ea13421b20545c4b568
Jug Handle,Fort Bragg,Medocino County,2.5,2.5,https://www.surfline.com/surf-report/jug-handle-state-beach-/59b1abae85802b0021bc25f2,https://www.surfline.com/surf-report/old-man-s-at-tourmaline/5842041f4e65fad6a77088c4?camId=5f29e43f4a641b0b4103763b
MacKerricher,Fort Bragg,Medocino County,2.5,2.5,https://www.surfline.com/surf-report/mackerricher/5842041f4e65fad6a7708b40,https://www.surfline.com/surf-report/pb-point/5842041f4e65fad6a77088c2
Westport,Fort Bragg,Medocino County,2.5,2.5,https://www.surfline.com/surf-report/westport/5842041f4e65fad6a7708b3f,https://www.surfline.com/surf-report/birdrock/5842041f4e65fad6a770883a
Shelter Cove,Redway,Humboldt County,3,3,https://www.surfline.com/surf-report/shelter-cove/5842041f4e65fad6a77089ba,https://www.surfline.com/surf-report/windansea/5842041f4e65fad6a770883c
North Jetty ,Bayview,Humboldt County,3,3.3,https://www.surfline.com/surf-report/north-jetty/5842041f4e65fad6a77089bc,https://www.surfline.com/surf-report/horseshoe/5842041f4e65fad6a770883d
Humboldt Harbor Entrance,Bayview,Humboldt County,3,4,https://www.surfline.com/surf-report/humboldt-harbor-entrance/5842041f4e65fad6a77089bb,https://www.californiabeaches.com/wp-content/uploads/2014/09/Beach-Day-3.26.14-222-Large-650x450.jpg
Westhaven,Westhaven,Humboldt County,4,4,https://www.surfline.com/surf-report/westhaven/5842041f4e65fad6a77089bd,https://www.californiabeaches.com/wp-content/uploads/2014/09/Carlsbad-City-Beach-BryceApr16-4-650x427.jpg
Patricks Point,Westhaven,Humboldt County,4,4,https://www.surfline.com/surf-report/patricks-point/5842041f4e65fad6a77089be,https://www.californiabeaches.com/wp-content/uploads/2014/09/Beach-Day-3.26.14-395-Large-650x444.jpg
South Beach,Bertsch,Del Norte County,3.5,1,https://www.surfline.com/surf-report/south-beach-ca/5842041f4e65fad6a77089c0,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-Oceanside-Beach-Lifeguard-Tower-162931184-Large-e1512522347185-650x398.jpg